ID,Description,Entry_ID,Comment,Media_IDs,Semantic_Domain,alt_translation1
SN002775,hang; hang down,kemqij,,,,висеть
SN002776,drunk; drunken; intoxicated,keple,,,,пьяный
SN002777,camp,LX002014,,,,стоянка (люди)
SN002778,watering can,LX002015,,,Tool,лейка
SN002779,pour (imperfective aspect),LX002016,,,,наливать
SN002780,sloping; slanting,keruzce,,,,наклонный; косой
SN002781,diagonally; slantingly,keruzle,,,,наискось; косо; с уклоном
SN002782,kill (imperfective aspect),LX002017,,,,убивать
SN002783,pour (imperfective aspect),LX002018,,,,сыпать
SN002784,temple; church,kilasa,,,Religion & Mythology,храм; церковь
SN002785,book,kiniga,,,Housing & Lifestyle; Loanword,книга
SN002786,film; movie,kinu,,,Loanword,фильм
SN002787,kopeck,kipek,,,Loanword,копейка
SN002788,incite (perfective aspect),LX002019,,,,натравить
SN002789,incite (imperfective aspect),LX002020,,,,натравливать
SN002790,pocket,kisa,,,Clothes,карман
SN002791,in pocket,kisna,,,,в кармане
SN002792,felt,kiz,,,,войлок
SN002793,oilcloth,LX002021,,,Loanword,клеёнка
SN002794,dung,kubart,,,,кизяк
SN002795,look; appearance,kuc,,,,облик; внешность; вид
SN002796,ugliness,LX002022,,,,безобразие
SN002797,facilitate (perfective aspect),LX002023,,,,облегчить
SN002798,relieve oneself (perfective aspect),LX002024,,,,облегчиться
SN002799,light,kukce,,,,лёгкий
SN002800,lightweight,kuk-kukce,,,,легковесный
SN002801,light,kuk-kukle,,,,налегке
SN002802,fast; light,kukle,,,,быстро; легко (вес)
SN002803,hurricane; storm,kulek,,,,ураган; шторм
SN002804,family,kulpat,,,Kinship,семья
SN002805,help,kumek,,,Loanword,помощь
SN002806,helpless,LX002025,,,,беспомощно
SN002807,help (perfective aspect),LX002026,,,,помогать
SN002808,help (imperfective aspect),LX002027,,,,помогать
SN002809,assistant,LX002028,,,Profession,помощник
SN002810,puff pastry bread,LX002029,,,Food,"слоёный хлеб; хлеб, слоёный"
SN002811,pit,kur,,,,яма
SN002812,deepen (perfective aspect),LX002030,,,,углубить
SN002813,hollow,LX002031,,,,впадина
SN002814,shovel,kura,,,Tool; Housing & Lifestyle,лопата
SN002815,deep,kurce,,,,глубокий
SN002816,dipper,LX002032,,,Tool,ковш; черпак
SN002817,depth; groove,kurdex,,,,глубина; углубление
SN002818,deep,kurre,,,,глубоко
SN002819,stool,LX002033,,,Housing & Lifestyle; Loanword,табуретка
SN002820,chair,LX002033,,,Housing & Lifestyle; Loanword,стул
SN002821,bird cherry,LX002034,,,Plant; Food,черемуха
SN002822,how much,kusa,,,,сколько
SN002823,somehow,kusadel,,,,сколько-то
SN002824,as much,LX002035,,,,как много
SN002825,wing,kusala,,,Body part,крыло
SN002826,side of a coat,kusala,,,,сторона пальто
SN002827,for how much,kusallij,,,,за сколько; почём
SN002828,beardless,LX002036,,,,безбородый
SN002829,which,LX002037,,,,который
SN002830,any,LX002038,,,,любой
SN002831,shorten (perfective aspect); abbreviate (perfective aspect),LX002039,,,,укоротить; сокращать
SN002832,shorten (perfective aspect),LX002040,,,,укоротиться
SN002833,short,LX002041,,,,короткий
SN002834,shortness,LX002042,,,,короткость
SN002835,shortly,LX002043,,,,коротко; кратко
SN002836,telogreika,LX002044,,,Clothes,телогрейка
SN002837,Kuzula Hin,kuzula_hin,,,Toponym,Кузула вода
SN002838,godekan,LX002045,,,Toponym,годекан
SN002839,two handful,LX002046,,,Measure,пригоршня; горсть
SN002840,glove,LX002047,,,Clothes,перчатка; рукавица
SN002841,in the hands,LX002048,,,,в руках
SN002842,in the hands,LX002049,,,,в руках
SN002843,in the hands,LX002050,,,,в руках
SN002844,catch (perfective aspect),LX002051,,,,поймать
SN002845,give (imperfective aspect),LX002052,,,,давать
SN002846,ram,LX002053,,,Animal,баран
