ID,Description,Entry_ID,Comment,Media_IDs,Semantic_Domain,alt_translation1
SN000001,[spatial case suffix],-a_2,,,,[локализация]
SN000002,[imperative singular suffix],-a_3,,,,[императив единственное число]
SN000003,[habitual past],-a_4,,,,[хабитуальное прошедшее время]
SN000004,[derivational suffix for group numerals],-a_5,,,,[числа суффикс]
SN000005,but; and,a,,,Loanword,а
SN000006,[negation suffix]; not,a-,,,,[отрицание]; не
SN000007,[optative suffix],-ab,,,,[оптатив]
SN000008,mother,aba,,,Kinship,мать
SN000009,granny; mother's mother,ababa,,,Kinship,бабушка
SN000010,uncle,LX000001,,,Kinship,дядя
SN000011,motherhood; maternity,abadex,,,,материнство
SN000012,forbid (imperfective aspect); ban (imperfective aspect); prohibit (imperfective aspect),abaltij,,,,запрещать
SN000013,accidentally,LX000002,,,,случайно
SN000014,aunt,abazi,,,Kinship,тетя; сестра матери
SN000015,fool,abdal,,,,глупец
SN000016,stupid; foolish; crazy; insane,abdalce,,,,дурной; глупый; безумный; сумасшедший
SN000017,stupidity; madness; insanity,abdaldex,,,,глупость; дурость; сумасшествие
SN000018,unripe; immature,LX000003,,,,неспелый; незрелый
SN000019,hate (imperfective aspect),LX000004,,,,ненавидеть
SN000020,become offended (perfective aspect); feel insulted (perfective aspect),LX000005,,,,оскорбиться
SN000021,unripe; immature,LX000006,,,,неспелый; незрелый
SN000022,back,LX000007,,,Loanword,обратно
SN000023,again,LX000007,,,Loanword,обратно
SN000024,open (perfective aspect),LX000008,,,,открывать
SN000025,bus,abtabuz,,,Loanword,автобус
SN000026,inoperative; spoiled; not working,LX000009,,,,нерабочий; испорченный
SN000027,spoil (perfective aspect),LX000010,,,,испортиться; перестать работать
SN000028,not castrated,aburqibce,,,,не кастрированный
SN000029,if so; then,LX000011,,,,а если так то; тогда
SN000030,comb (perfective aspect),LX000012,,,,причесать; расчесать
SN000031,thicket; bush,LX000013,,,,чащоба
SN000032,uncle,LX000014,,,Kinship,дядя
SN000033,open,LX000015,,,Loanword,открыто
SN000034,open (perfective aspect); unlock (perfective aspect),LX000016,,,,открыть; отпереть
SN000035,open (imperfective aspect); unlock (imperfective aspect),LX000017,,,,открывать; отпирать
SN000036,open (imperfective aspect),LX000018,,,,открываться
SN000037,open (perfective aspect),LX000019,,,,открываться
SN000038,unfold (imperfective aspect); be revealed (imperfective aspect); open (imperfective aspect),LX000020,,,,раскрываться
SN000039,open,LX000021,,,,открытый
SN000040,publicly; openly; open,LX000022,,,,открыто
SN000041,hit (perfective aspect); meet (perfective aspect),LX000023,,,,попасть
SN000042,get into (perfective aspect); hit upon (perfective aspect); hit (perfective aspect),LX000024,,,,попадать
SN000043,report,LX000025,,,Loanword,отчёт
SN000044,wheat,LX000026,,,Plant; Food,пшеница
SN000045,granule; grain; corn; seed,LX000027,,,Plant; Food,зёрнышко
SN000046,moral; ethics,adab,,,Loanword,мораль; этика
SN000047,decency; modesty,adabdex,,,Loanword,приличие; благопристойность
SN000048,Adam,Adam,,,Name,Адам
SN000049,[first person habitual past],-adi,,,,[первое лицо хабитуальное прошедшее время]
SN000050,human,adimtalla,,,,человеческий
SN000051,person; human being,admi,,,Loanword,человек
SN000052,man,admi,,,Loanword,мужчина
SN000053,humanity,admidex,,,,человечность
SN000054,human,admila,,,,человеческий
SN000055,agronomist,agranum,,,Profession; Loanword,агроном
SN000056,result; outcome; past,agurce,,,,результат; прошедший
SN000057,result; outcome; past,aguril,,,,результат; прошедший
SN000058,light (perfective aspect); lit (perfective aspect); turn on (perfective aspect),ahaqij,,,,зажечь; зажигать
SN000059,sob violently; cry bitterly,LX000028,,,,плакать навзрыд
SN000060,burn (perfective aspect); turn on (perfective aspect),ahij,,,,гореть
SN000061,[imperative plural suffix],-aj_1,,,,[императив множественное число]
SN000062,[second person plural],-aj_2,,,,[второе лицо множественное число]
SN000063,[imperative plural suffix],-aja,,,,[императив множественное число]
SN000064,Mu'adhin,LX000029,,,,муэдзин
SN000065,October,LX000030,,,Time; Loanword,октябрь
SN000066,not be (present tense),LX000031,,,,отсутствовать; нет; не
SN000067,disappear (perfective aspect); vanish (perfective aspect),LX000032,,,,исчезать
SN000068,without; lack; not being,LX000033,,,,без; нет
SN000069,lack; absence,LX000034,,,,отсутствие
SN000070,not be (past tense),LX000035,,,,не был
SN000071,[indirect question clitic],LX000036,,,,[вопросительная клитика]
SN000072,[derivational clitic for the formation of indefinite pronouns],LX000037,,,,[словообразовательный суффих]
SN000073,[suffix for the derivation of numerals],-al_3,,,,[числа суффикс]
SN000074,[nominalizer],-ala,,,,[номинализатор]
SN000075,[second person singular genitive]; your,ala,,,,твой
SN000076,around,alaw,,,,вокруг
SN000077,enclose (perfective aspect); fence in (perfective aspect); wrap (perfective aspect),LX000038,,,,огородить; обертывать
SN000078,enclose (imperfective aspect); fence in (imperfective aspect); wrap (imperfective aspect),LX000039,,,,огородить; обертывать
SN000079,enclose (perfective aspect); fence in (perfective aspect); barricade (perfective aspect),LX000040,,,,загородить; обертывать
SN000080,around,alawle,,,,кругом
SN000081,round; around,alawleb,,,,кругом
SN000082,light (imperfective aspect); lit (imperfective aspect); turn on (imperfective aspect),alhaqij,,,,зажечь; зажигать
SN000083,butterfly,LX000041,,,Animal,бабочка
SN000084,bird,LX000042,,,Animal,птица
SN000085,flying,LX000043,,,,летающий
SN000086,Sunday,LX000044,,,Time,воскресенье
SN000087,cherry-plum; plum,LX000045,,,Plant; Food; Loanword,алыча; слива
SN000088,Allah; God,Allah,,,Religion & Mythology; Loanword,Аллах; бог
SN000089,ladybug,LX000046,,,Animal,божья коровка
SN000090,[first person conditional],-alle,,,,[первое лицо условный показатель]
SN000091,diamond,almaz,,,Loanword,алмаз
SN000092,stick (imperfective aspect); stab (imperfective aspect),LX000047,,,,втыкать
SN000093,stick into (imperfective aspect); pin (imperfective aspect); prick (imperfective aspect),LX000048,,,,вставлять; тыкать
SN000094,saw,LX000049,,,Tool,пила
SN000095,heaven,LX000050,,,Religion & Mythology,рай
SN000096,pledge; security,amanat,,,Loanword,залог
SN000097,Aminat,Aminat,,,Name,Аминат
SN000098,Amir,Amir,,,Name,Амир
SN000099,but,amma,,,Loanword,но
SN000100,but,ammaki,,,Loanword,но
SN000101,donkey,LX000051,,,Animal,осёл
SN000102,puffball,LX000052,,,Plant,вид гриба
SN000103,man behaving like a donkey,LX000053,,,,"человек, ведущий себя, словно осел"
SN000104,clean,amzuce,,,,чистый
SN000105,cleanness,amzudex,,,,чистота
SN000106,[locative participle],-an_1,,,,[меснтое причастие]
SN000107,[third person conditional],-an_2,,,,[третье лицо условный показатель]
SN000108,[obligative/modal/future participle],-an_3,,,,[модальное причастие / причастие обязательства / будущее время]
SN000109,[third person subjunctive suffix],-anaj,,,,[третье лицо сослагательное наклонение]
SN000110,[imperative plural suffix],LX000054,,,,[императив множественное число]
SN000111,garden,anq,,,Housing & Lifestyle,сад
SN000112,forehead,LX000055,,,Body part,лоб
SN000113,officer; commander,LX000056,,,Profession; Loanword,офицер
SN000114,sawdust; filings,LX000057,,,Loanword,опилка
SN000115,operation; surgery,LX000058,,,Loanword,операция
SN000116,high,aq,,,,высоко; под-
SN000117,[causative suffix],-aq,,,,[каузатив суффикс]
SN000118,lift (perfective aspect); pick up (perfective aspect),LX000059,,,,поднять
SN000119,lift (imperfective aspect); pick up (imperfective aspect),LX000060,,,,поднимать
SN000120,climb (perfective aspect); rise up (perfective aspect); get up (perfective aspect),LX000061,,,,подниматься; подняться; повышаться
SN000121,raise (perfective aspect); wake up (perfective aspect); pick up (perfective aspect),LX000062,,,,поднять
SN000122,get up (perfective aspect); wake up (perfective aspect),LX000063,,,,вставать
SN000123,summit; top; peak,aqanaj,,,,вершина
SN000124,kind of apricot,aqbazan,,,Plant; Food,абрикос; крупный
SN000125,tall; high; loud,aqce,,,,высокий; громкий
SN000126,height; altitude; growth,aqdex,,,,высота; рост
SN000127,go through (perfective aspect),aqij,,,,пройти
SN000128,highly; loudly,aqle,,,,высоко; выше; громко
SN000129,opportunity; possibility; strength,aqri,,,,возможность; сила
SN000130,poplar,aqterek,,,Plant,тополь
SN000131,Akusha,LX000064,,,Toponym,Акуша
SN000132,Akusha person,LX000065,,,Demonym,акушинец
SN000133,Akusha,LX000066,,,,акушинский
SN000134,fireplace; hearth,LX000067,,,Housing & Lifestyle,камин; очаг
SN000135,flock; herd,LX000068,,,Measure,стада; отара; стая
SN000136,herdsman; cowboy,LX000069,,,Profession,пастух
SN000137,free; available; not busy; not employed,LX000070,,,,свободный от работы; не занятый
SN000138,unemployment; freedom,LX000071,,,,спокойствие; незанятость
SN000139,free; available; not busy,LX000072,,,,свободно
SN000140,[present tense suffix],-ar_1,,,,[настоящее время суффикс]
SN000141,[third person conditional suffix],-ar_2,,,,[третье лицо условный показатель]
SN000142,[copula participle],-ar_3,,,,[связка причастие]
SN000143,lunchtime; noon; midday,ar,,,Time,обед; полдень
SN000144,before lunch/dinner time,LX000073,,,Time,до обеда время
SN000145,recuperate (perfective aspect); recover (perfective aspect); get healthy (perfective aspect),LX000074,,,,выздоравливать; вылечиться
SN000146,healthy,arace,,,,здоровый
SN000147,health; well-being,aradex,,,,здоровье; самочувствие
SN000148,[third person subjunctive],-araj,,,,[третье лицо сослагательное наклонение]
SN000149,stranger; outsider; unknown person,LX000075,,,,незнакомка; не знающая
SN000150,plague; pestilence,LX000076,,,,корь; эпидемия
SN000151,ill-mannered; rude; ignorant,LX000077,,,,невоспитанная; не наученная
SN000152,Wednesday,LX000078,,,Time; Loanword,среда
SN000153,money,arc,,,,деньги
SN000154,silver,arc,,,,серебро
SN000155,pay (perfective aspect),LX000079,,,,заплатить; деньги отдать
SN000156,earn (perfective aspect); make money (perfective aspect),LX000080,,,,зарабатывать
SN000157,pay (imperfective aspect),LX000081,,,,платить; деньги отдавать
SN000158,lion,LX000082,,,Animal,лев
SN000159,mark; tag; trace,LX000083,,,,метка; след
SN000160,mark (imperfective aspect),LX000084,,,,отмечать; помечать; клеймить
SN000161,brand (perfective aspect); mark (perfective aspect),LX000085,,,,отмечать; помечать; клеймить
SN000162,weed,LX000086,,,Plant,сорняк
SN000163,wild potato,LX000087,,,Plant; Food,дикая картошка
SN000164,inflamed; reddened,LX000088,,,,воспалённый; покраснелый
SN000165,[third person conditional past],-ardel,,,,[третье лицо прошедшее время условный показатель]
SN000166,handle; shaft,arga,,,Tool,ручка; рукоятка; топорище; кнутовище; шест
SN000167,day; daytime,ari,,,Time,день; светлое время
SN000168,at lunch,arilla,,,Time,обедом
SN000169,in the afternoon; after lunch,LX000089,,,Time,после обеда/полудня
SN000170,too much,arin,,,,слишком
SN000171,too much,arindan,,,,слишком
SN000172,measles,LX000090,,,,корь
SN000173,axis; axle,ark,,,,ось
SN000174,though; at least,arrah,,,,хоть
SN000175,weather,LX000091,,,,погода
SN000176,strap for jar,LX000092,,,Tool,ремень кувшина
SN000177,explain (perfective aspect),LX000093,,,,объяснять
SN000178,understand (perfective aspect),LX000094,,,,понять
SN000179,arch,LX000095,,,,арка
SN000180,sown field,LX000096,,,Housing & Lifestyle,засеянное поле
SN000181,cutter,LX000097,,,Profession,косарь пшеницы или сена
SN000182,[second/third person plural optative suffix],-arte,,,,[второе/третье лицо множественное число оптатив]
SN000183,homebrew,LX000098,,,Food,брага; доморощенный
SN000184,solve (perfective aspect),arzij,,,,решить пример
SN000185,accomplish (imperfective aspect); turn into (imperfective aspect),LX000099,,,,получаться
SN000186,let go (imperfective aspect),LX000099,,,,отпускать
SN000187,go (imperfective aspect); leave (imperfective aspect),LX000100,,,,ходить; уходить; идти
SN000188,go (imperfective aspect); drive (imperfective aspect),LX000100,,,,ехать; ездить
SN000189,become (imperfective aspect); equal (imperfective aspect),LX000100,,,,становиться; равно
SN000190,happen (imperfective aspect); turn out (imperfective aspect),LX000100,,,,получаться
SN000191,feel (imperfective aspect),LX000100,,,,чувствовать
SN000192,do (perfective aspect),LX000101,,,,делать
SN000193,chase (perfective aspect),LX000101,,,,гнать
SN000194,pan,LX000102,,,Tool; Housing & Lifestyle,сковородка
SN000195,quadrangle; tetragon; rectangle; square,LX000103,,,,четырёхугольник; прямоугольник; квадрат
SN000196,quadrangular; square; rectangle,LX000104,,,,четырехугольный
SN000197,poison; venom,LX000105,,,,яд
SN000198,fourth,LX000106,,,Numeral,четвертый
SN000199,Agul; Aghul,LX000107,,,,агульский
SN000200,Agul; Aghul,LX000108,,,Demonym,агулец
SN000201,Aghul person,LX000109,,,Demonym,агулец
SN000202,poisonous; venomous; toxic,LX000110,,,,ядовитый
SN000203,four hundred,LX000111,,,Numeral,400
SN000204,four,LX000112,,,Numeral,четыре
SN000205,group of four,LX000113,,,Numeral,четверо
SN000206,forty,LX000114,,,Numeral,сорок
SN000207,forty days,LX000115,,,,сорокодневка; сорок дневка
SN000208,quartet; quadruple,LX000116,,,Numeral,четверка
SN000209,be lazy (perfective aspect),LX000117,,,,лениться
SN000210,lazy,LX000118,,,,ленивый
SN000211,laziness,LX000119,,,,лень
SN000212,unripe; immature,LX000120,,,,неспелый; незрелый
SN000213,Asiyat,Asijat,,,Name,Асият
SN000214,old,askice,,,,старый; поношенный
SN000215,cantina; buffet,LX000121,,,Loanword,столовая
SN000216,As-salamu alaykum,LX000122,,,Loanword,Ас-саляму алейкум
SN000217,take (perfective aspect),LX000123,,,,взять
SN000218,buy (perfective aspect),LX000123,,,,купить
SN000219,uncover (perfective aspect); reveal (perfective aspect); disclose (perfective aspect),LX000124,,,,раскрыть
SN000220,come to light (perfective aspect); be identified (perfective aspect),LX000125,,,,выявляться
SN000221,revealed; uncovered,LX000126,,,,открытый
SN000222,openly; detected,LX000127,,,,открыто; явно
SN000223,long scarf,LX000128,,,Clothes,длинный платок
SN000224,type of jug,LX000129,,,Tool; Housing & Lifestyle,кувшин
SN000225,golden coin,LX000130,,,Loanword,золотая монета
SN000226,your; [second person plural genitive],LX000131,,,,ваш
SN000227,[second person singular dative]; you (dative singular),at,,,,тебе
SN000228,[imperfective conditional second person],-at,,,,[второе лицо условный показатель]
SN000229,free,LX000132,,,,свободно
SN000230,[prohibitive singular suffix],LX000133,,,,[прохибитив единственное число]
SN000231,[second person plural habitual present suffix],LX000134,,,,[второе лицо множественное число хабитуальное настоящее время]
SN000232,father,LX000135,,,Kinship,отец
SN000233,parents,LX000136,,,Kinship,родители
SN000234,grandmother,LX000137,,,Kinship,бабушка
SN000235,uncle,LX000138,,,Kinship,дядя
SN000236,[second person plural conditional],LX000139,,,,[второе лицо множественное число условный показатель]
SN000237,aunt,LX000140,,,Kinship,тетя
SN000238,[second person singular habitual present suffix],LX000141,,,,[второе лицо единственное число хабитуальное настоящее время]
SN000239,[second person singular conditional suffix],LX000142,,,,[второе лицо единственное число условный показатель]
SN000240,relax (perfective aspect); rest (perfective aspect),LX000143,,,,отдыхать
SN000241,stick (perfective aspect); stab (perfective aspect),LX000144,,,,воткнуть
SN000242,stick into (perfective aspect); pin (perfective aspect); prick (perfective aspect),LX000145,,,,вставить; ткнуть
SN000243,[polar question clitic],LX000146,,,,[вопросительная клитика]
SN000244,spacious,awadance,,,,просторный
SN000245,without problems,awadance,,,,без проблем; гладко
SN000246,cheerfulness; pleasure,awadandex,,,,жизнерадостность; удовольствие
SN000247,cheerfully; spaciously,awadanne,,,,жизнерадостно; просторный
SN000248,amuse oneself (imperfective aspect); have fun (imperfective aspect); have a good time (imperfective aspect),LX000147,,,,развлекаться
SN000249,interest; attention,awara,,,,надобность; внимание; интерес
SN000250,apathy; indifference,LX000148,,,,безразличие; равнодушие
SN000251,ill-mannered; rude; ignorant,LX000149,,,,невоспитанный; не наученный
SN000252,open space; vastness,awlaq,,,,простор
SN000253,simple-minded person; simpleton,awlija,,,,дебил; простак
SN000254,ah; oh,LX000150,,,,ах
SN000255,end,LX000151,,,Loanword,конец
SN000256,afterlife; netherworld,LX000152,,,Religion & Mythology; Loanword,потусторонний мир; преисподняя
SN000257,finally; lastly; at last,LX000153,,,,наконец
SN000258,stupid; idiot,LX000154,,,,дурак; идиот
SN000259,stupid; idiotic,LX000155,,,,дурацкий; идиотский; дурный
SN000260,stupidity; foolishness,LX000156,,,,глупость; дурость
SN000261,guard; protection,LX000157,,,Loanword,охрана
SN000262,guard,LX000157,,,Loanword,охранник
SN000263,check; verification,LX000158,,,,проверка
SN000264,verify (perfective aspect); check out (perfective aspect),LX000159,,,,проверить
SN000265,[conditional suffix],LX000160,,,,[условный показатель]
SN000266,I don't know; dunno,LX000161,,,,не знаю
SN000267,free,azatce,,,Loanword,свободный
SN000268,liberty; freedom,azatdex,,,,вольность; свобода
SN000269,freely,azatle,,,,свободно
SN000270,yard; court,azbar,,,Housing & Lifestyle; Loanword,двор
SN000271,[adjectivizer],-azi,,,,[адъективатор]
SN000272,thousand,azir,,,Loanword ; Numeral,тысяч
SN000273,cow's second stomach; abomasum,azir_kumran,,,Body part,второй желудок коровы; сычуг
SN000274,cow's second stomach; abomasum,LX000162,,,Body part,второй желудок коровы; сычуг
SN000275,milfoil,LX000162,,,Plant,тысячелистник
SN000276,centipede,LX000163,,,Animal,многоножка; сороконожка
SN000277,centipede,LX000164,,,Animal,многоножка; сороконожка
SN000278,thousandth,aziribil,,,Numeral,тысячный
SN000279,death,LX000165,,,Loanword,смерть
SN000280,temple,LX000166,,,Body part,висок
SN000281,let go (perfective aspect); make go (perfective aspect),LX000167,,,,получаться
SN000282,monster; dragon,LX000168,,,Religion & Mythology; Loanword; Animal,чудовище; дракон
SN000283,melody,LX000169,,,,мелодия
SN000284,go (perfective aspect); leave (perfective aspect),LX000170,,,,поехать; уйти; пойти
SN000285,happen (perfective aspect); turn out (perfective aspect),LX000170,,,,получиться
SN000286,become (perfective aspect),LX000170,,,,стать
SN000287,gawk (perfective aspect); stare (perfective aspect),LX000171,,,,разинуть
SN000288,gawk; chew-bacon,LX000172,,,,зевака; ротозей; разиня
SN000289,gawk (imperfective aspect); stare (imperfective aspect),LX000173,,,,разинуть
SN000290,[gender neuter singular],b-_1,,,,[средний род единственное число]
SN000291,[gender neuter singular],-b_1,,,,[средний род единственное число]
SN000292,[gender human plural],b-_2,,,,[можественное число одушевленного класса]
SN000293,[gender human plural],-b_2,,,,[можественное число одушевленного класса]
SN000294,half,LX000174,,,,половинный
SN000295,half,LX000175,,,,половина
SN000296,break down (perfective aspect); break up (perfective aspect); smash (perfective aspect),LX000176,,,,разбить; ломать
SN000297,shake (perfective aspect); rock (perfective aspect),LX000177,,,,тряхнуть; потрясти
SN000298,moon,bac,,,,луна
SN000299,month,bac,,,Time,месяц
SN000300,plow (perfective aspect),bacij,,,,вспахать
SN000301,arable,bacunce_qu,,,,пашня
SN000302,monthly,LX000178,,,,месячный
SN000303,unload (perfective aspect); empty (perfective aspect),LX000179,,,,разгрузить; опорожнить
SN000304,become empty (perfective aspect); be emptied (perfective aspect); be abandoned (perfective aspect),LX000180,,,,опустеть
SN000305,flesh; meat,LX000181,,,,мякоть
SN000306,on an empty stomach; without food,LX000182,,,,натощак
SN000307,melt (perfective aspect),LX000183,,,,растаять
SN000308,empty,LX000184,,,,пустой
SN000309,emptiness; void,LX000185,,,,пустота
SN000310,thaw (perfective aspect); melt (perfective aspect),LX000186,,,,растаять; расплавиться
SN000311,empty; deserted; spare,LX000187,,,,пусто
SN000312,beads,LX000188,,,,бусы
SN000313,necklace,LX000188,,,Clothes,цепочка; ожерелье
SN000314,break (perfective aspect); crush (perfective aspect); crack (perfective aspect),LX000189,,,,поломать(ся); разбить(ся)
SN000315,smear (perfective aspect); spread (perfective aspect),LX000190,,,,помазать; намазать
SN000316,paint (perfective aspect),LX000190,,,,покрасить; выкрасить; окрасить
SN000317,grow up (perfective aspect),LX000191,,,,вырасти; выращивать
SN000318,abscess; furuncle,LX000192,,,,нарыв; фурункул
SN000319,grow (perfective aspect),LX000193,,,,расти
SN000320,squeeze (perfective aspect),LX000194,,,,раздавить; придавить
SN000321,sweet cherry,LX000195,,,Plant; Food,черешня
SN000322,bucket,badra,,,Housing & Lifestyle; Tool; Loanword,вёдро
SN000323,most,bah,,,,самый
SN000324,own (perfective aspect); possess (perfective aspect),LX000196,,,,владеть; стать хозаином
SN000325,dress so else (perfective aspect),bah_balgij,,,,одевать
SN000326,wash oneself (perfective aspect); bathe oneself (perfective aspect),LX000197,,,,мыться; купаться
SN000327,wash oneself (imperfective aspect); bathe oneself (imperfective aspect),LX000198,,,,мыться; купаться
SN000328,dress oneself (perfective aspect),bah_bugij,,,,одеваться
SN000329,dress oneself (imperfective aspect),bah_bulgij,,,,одеваться
SN000330,very last,bah_hila,,,,последнее; само последний
SN000331,dress oneself (imperfective aspect); dress so else (imperfective aspect),bah_lugij,,,,одеваться; одевать
SN000332,price,baha,,,Loanword,цена
SN000333,hero,bahadur,,,Loanword,герой
SN000334,heroism,bahadurdex,,,,геройство
SN000335,reason,bahana,,,,причина
SN000336,because of; due to,bahandan,,,,из-за
SN000337,because of,bahanne,,,,из-за
SN000338,in order to,bahanne,,,,чтобы
SN000339,be anxious (imperfective aspect),LX000199,,,,озабоченный
SN000340,concern; preoccupation,LX000200,,,,озабоченность
SN000341,anxiously; worriedly,LX000201,,,,озабоченно
SN000342,parents,bahinte,,,Kinship,родители
SN000343,owners,bahinte,,,,хозяин
SN000344,slow down (perfective aspect); delay (perfective aspect),LX000202,,,,медлить; замедлять
SN000345,calm down (perfective aspect); become quiet (perfective aspect),LX000203,,,,успокоиться; умолкать; утихать
SN000346,slowly,bahla-bahlal,,,,медленно
SN000347,quietly,bahla-bahlal,,,,тихо; спокойно
SN000348,quiet,bahlace,,,,тихой; спокойный
SN000349,slow,bahlace,,,,медленный
SN000350,slowly; quietly; calmly,bahlal,,,,медленно; тихо; спокойно
SN000351,most; very most,bahlalla,,,,самый-самый
SN000352,last; final,bahrigan,,,,последний
SN000353,for the first time; first,bahsalar,,,,впервые
SN000354,at first; initially,bahsar,,,,сначала; впервые; вначале
SN000355,Bahamma,LX000204,,,,Багамма
SN000356,soak (perfective aspect); wet (perfective aspect); moisten (perfective aspect),LX000205,,,,намочить; мочить; увлажнять
SN000357,crazy; mad; insane,LX000206,,,,сумасшедший; безумный; бешеный
SN000358,get wet (perfective aspect),LX000207,,,,мочиться
SN000359,shadow,LX000208,,,,тень
SN000360,moisture; humidity,LX000209,,,,влажность; мокрота
SN000361,holiday,bajram,,,Time; Religion & Mythology; Loanword,праздник
SN000362,flag,bajraq,,,Loanword,знамя; флаг; стяг
SN000363,flag-bearer,LX000210,,,,знаменосец
SN000364,wally; muddle,bajturman,,,,бестолочь
SN000365,not be; not exist; not be located; [negative copula],LX000211,,,,отсутствовать; нет; не
SN000366,not be (past tense); not exist (past tense); not be located (past tense); [negative past tense copula],LX000212,,,,отсутствовать; не было
SN000367,repair (perfective aspect); fix (perfective aspect),LX000213,,,,починить; исправить
SN000368,repair (perfective aspect); put together (perfective aspect),LX000214,,,,починить
SN000369,fit (perfective aspect); suit (perfective aspect); match (perfective aspect),LX000215,,,,подходить; подойти
SN000370,fix (perfective aspect); repair (perfective aspect),LX000216,,,,чинить
SN000371,repair (perfective aspect); fix (perfective aspect),LX000217,,,,ремонтировать
SN000372,trouble; misfortune,bala,,,,беда
SN000373,grief; sorrow,bala,,,,горе
SN000374,plow (imperfective aspect),balcij,,,,пахать
SN000375,gather (perfective aspect); collect (perfective aspect),LX000218,,,,собрать
SN000376,break (imperfective aspect); crush (imperfective aspect); crack (imperfective aspect),LX000219,,,,ломать(ся); разбивать(ся)
SN000377,squeeze (imperfective aspect),LX000220,,,,раздавливать; придавливать; давить
SN000378,equip (perfective aspect); set up (perfective aspect); trim (perfective aspect); load (perfective aspect),balgij,,,,обустроить; нарядить; укомплектовать; зарядить
SN000379,adapt (perfective aspect); fit (perfective aspect); adjust (perfective aspect),LX000221,,,,приспосабливаться; подстраиваться; подойти
SN000380,become wet (imperfective aspect),LX000222,,,,намочиться; мочиться
SN000381,fish,baliq,,,Animal; Loanword,рыба
SN000382,fisherman,LX000223,,,Profession; Loanword,рыбак
SN000383,scales,baliqla_kam,,,,чешуя
SN000384,fin,baliqla_kusala,,,,плавник
SN000385,gills,LX000224,,,,жабры
SN000386,fish school,LX000225,,,Animal,стая рыб
SN000387,fishing rod; fishing pole,LX000226,,,Tool,удочка
SN000388,prayer,LX000227,,,Religion & Mythology,мольба; молитва
SN000389,lame; limp,LX000228,,,,хромой
SN000390,bend (perfective aspect); twist (perfective aspect); fold (perfective aspect),LX000229,,,,согнуть; загнуть; сгибать
SN000391,bend (perfective aspect),LX000230,,,,гнуть; согнуть
SN000392,bend (perfective aspect); twist (perfective aspect); fold (perfective aspect),LX000231,,,,согнуть; загнуть; сгибать
SN000393,bend (perfective aspect); twist (perfective aspect),LX000232,,,,сгибаться; согнуться; искривляться
SN000394,bend (perfective aspect); twist (perfective aspect),LX000233,,,,сгибаться; согнуться; искривляться
SN000395,together,balli,,,,вместе
SN000396,hospital,LX000234,,,Loanword,больница
SN000397,quick; bright; energetic,LX000235,,,,шустрый; энергичный
SN000398,throw upwards (perfective aspect); shake up (perfective aspect),LX000236,,,,подкидывать
SN000399,shear (perfective aspect),LX000237,,,,остричь
SN000400,cut (perfective aspect); trim (perfective aspect),LX000237,,,,подстричь
SN000401,glue; clay,LX000238,,,,клей
SN000402,glue (imperfective aspect),LX000239,,,,клеить
SN000403,knead (imperfective aspect),LX000240,,,,месить
SN000404,leave (imperfective aspect),baltij,,,,оставлять; пустить
SN000405,adult,LX000241,,,Loanword,совершеннолетний
SN000406,sow (imperfective aspect); set (imperfective aspect),LX000242,,,,сеять; сажать
SN000407,inform (imperfective aspect); make know (imperfective aspect); explain (imperfective aspect),LX000243,,,,сообщать
SN000408,know (imperfective aspect),LX000244,,,,знать
SN000409,feed (imperfective aspect),LX000245,,,,кормить
SN000410,block (imperfective aspect); seal (imperfective aspect); close (imperfective aspect),LX000246,,,,заткнуть; закупорить; загромождать
SN000411,wool; cotton,LX000247,,,Plant,вата; хлопок
SN000412,woven fabric,bambazi,,,Clothes,ткань из шерсти
SN000413,tire sb; fatigue; exhaust,LX000248,,,,утомить
SN000414,weary oneself; fatigue; exhaust,LX000249,,,,утомляться; уставать
SN000415,can; jar,LX000250,,,Tool; Loanword,банка
SN000416,multiply (imperfective aspect),LX000251,,,,размножаться
SN000417,butter,LX000252,,,Food,масло
SN000418,a bunch of; much; many,baq-baqil,,,,много
SN000419,long,baqe,,,,долго; надолго
SN000420,hit (perfective aspect); strike (perfective aspect); wound (perfective aspect),LX000253,,,,ударить
SN000421,much; many,baqil,,,,много
SN000422,many enough; enough,baqilbazib,,,,достаточно много; достаточно
SN000423,halva,LX000254,,,Food,халва
SN000424,stare (imperfective aspect),LX000255,,,,вытаращить; пялиться
SN000425,stare (perfective aspect),LX000256,,,,вытаращить; пялиться
SN000426,day,bar,,,Time,день
SN000427,not at all,bara_arrah,,,,ничуть
SN000428,a little bit,bara-bara,,,,чуть-чуть
SN000429,tire (perfective aspect); weary (perfective aspect),LX000257,,,,утомить
SN000430,get tired (perfective aspect),LX000258,,,,устать
SN000431,chudu,LX000259,,,Food,чуду
SN000432,fatigue; tiredness,LX000260,,,,усталость
SN000433,tired; weary,LX000261,,,,усталый; уставший
SN000434,find (perfective aspect); detect (perfective aspect),LX000262,,,,найти
SN000435,sun,bari,,,,солнце
SN000436,day,bari,,,Time,день
SN000437,greeting,barisala,,,,"приветствие, когда сидят под солнцем"
SN000438,inside,bark,,,,нутро; внутренность
SN000439,explode (perfective aspect); blow up (perfective aspect); burst (perfective aspect),LX000263,,,,взрывать; лопать
SN000440,burst (perfective aspect); explode (perfective aspect),LX000264,,,,лопнуть; взрывать(ся); лопаться
SN000441,palm,LX000265,,,Body part,ладонь
